id_product,product,price,value_f
1,AGUACATE,30,5
2,AGUACATE CRIOLLO,25,5
3,CAPULÍN,40,5
4,CEREZAS,50,5
5,CHABACANO,80,4
6,CHICOZAPOTE,50,3
7,CIRUELA PASA,80,3
8,DURAZNO,80,3
9,FRAMBUESA,120,4
10,FRESA,50,4
11,GARAMBULLO,140,4
12,GRANADA CHINA,60,2
13,GRANADA ROJA,40,3
14,GUANÁBANA,50,2
15,GUAYABA,15,5
16,HIGO,40,3
17,JÍCAMA,30,2
18,KIWI,80,2
19,LIMA,25,5
20,LIMÓN AGRIO,25,5
21,LIMÓN REAL,20,5
22,MANDARINA,15,5
23,MANGO,50,3
24,MANZANA,30,4
25,MARACUYÁ,60,2
26,MELÓN,40,3
27,MELÓN CHINO,50,2
28,MORA AZUL,120,4
29,NANCHE,50,3
30,NARANJA,7,5
31,NARANJA AGRIA,10,5
32,NÍSPERO,60,3
33,PAPAYA,20,3
34,PASAS,80,2
35,PERA,35,3
36,PERÓN,20,3
37,PIÑA,18,4
38,PITAJAYA,45,3
39,PLÁTANO DOMINICO,20,3
40,PLÁTANO MACHO,15,2
41,PLÁTANO MORADO,25,3
42,PLÁTANO TABASCO,16,3
43,SANDÍA,10,4
44,TAMARINDO,100,2
45,TEJOCOTE,25,4
46,TORONJA,35,4
47,TUNA,20,3
48,UVA ROJA,50,5
49,XOCONOXTLE,50,3
50,ZAPOTE BLANCO,50,3
51,ZAPOTE MAMEY,50,3
52,ZAPOTE NEGRO,50,3
53,ZARZAMORA,100,4
54,ALCACHOFA,80,4
55,ACELGA,25,5
56,APIO,25,3
57,BERROS,20,4
58,BRÓCOLI,40,3
59,BROTES DE CALABAZA,20,3
60,CALABACITA,10,2
61,CEBOLLA,15,4
62,CEBOLLA CAMBRAY,15,3
63,CEBOLLA MORADA,20,3
64,CHAYOTE,20,3
65,CHÍCHARO,60,3
66,CILANTRO,40,2
67,COL,40,3
68,COL DE BRUCELAS,90,3
69,COL MORADA,80,4
70,COLIFLOR,40,3
71,EJOTES,20,3
72,ESPÁRRAGOS,100,5
73,ESPINACAS,30,5
74,FLOR DE CALABAZA,50,3
75,FLOR DE IZOTE O YUCA,60,3
76,GERMINADO O BROTES DE ALFALFA,200,4
77,GUAJE,100,3
78,HABAS VERDES,80,3
79,HOJAS DE AMARANTO,50,3
80,HOJAS DE RÁBANO,40,3
81,HUAZONTLE,25,4
82,JITOMATE,20,5
83,LECHUGA,60,2
84,MILTOMATE,30,3
85,NOPALES,140,4
86,NOPALES TIERNOS,300,3
87,PÁPALO QUELITE,80,5
88,PEPINO,10,4
89,PEREJIL,40,1
90,PIMIENTO ROJO,20,2
91,PORO,10,2
92,QUELITES,20,5
93,RÁBANO LARGO,40,4
94,TOMATE VERDE,10,4
95,VERDOLAGA,20,4
96,CHILE SERRANO,50,3
97,AJO,60,5
98,CÚRCUMA,100,4
99,JENGIBRE,100,3
100,BETABEL,30,4
101,ZANAHORIA,10,3
102,CHAMPIÑÓN,80,5
103,CUITLACOCHE,50,4
104,AJONJOLÍ,65,5
105,ALMENDRAS,180,4
106,AVELLANA,295,3
107,CACAHUATE,52,3
108,CACAO,120,3
109,CALABAZA,135,4
110,CHÍA,60,5
111,GIRASOL,45,4
112,LINAZA,60,5
113,NUEZ,250,5
114,NUEZ DE LA INDIA,400,4
115,PIÑÓN,500,4
116,PISTACHES,400,4
117,CALABAZA DE CASTILLA,130,4
118,AMARANTO,50,4
119,AVENA,25,2
120,QUÍNOA,40,3