id_fruits,fruits
1,AGUACATE
2,AGUACATE CRIOLLO
3,CAPULÍN
4,CEREZAS
5,CHABACANO
6,CHICOZAPOTE
7,CIRUELA PASA
8,DURAZNO
9,FRAMBUESA
10,FRESA
11,GARAMBULLO
12,GRANADA CHINA
13,GRANADA ROJA
14,GUANÁBANA
15,GUAYABA
16,HIGO
17,JÍCAMA
18,KIWI
19,LIMA
20,LIMÓN AGRIO
21,LIMÓN REAL
22,MANDARINA
23,MANGO
24,MANZANA
25,MARACUYÁ
26,MELÓN
27,MELÓN CHINO
28,MORA AZUL
29,NANCHE
30,NARANJA
31,NARANJA AGRIA
32,NÍSPERO
33,PAPAYA
34,PASAS
35,PERA
36,PERÓN
37,PIÑA
38,PITAJAYA
39,PLÁTANO DOMINICO
40,PLÁTANO MACHO
41,PLÁTANO MORADO
42,PLÁTANO TABASCO
43,SANDÍA
44,TAMARINDO
45,TEJOCOTE
46,TORONJA
47,TUNA
48,UVA ROJA
49,XOCONOXTLE
50,ZAPOTE BLANCO
51,ZAPOTE MAMEY
52,ZAPOTE NEGRO
53,ZARZAMORA