id_vegetables,vegetables
54,ALCACHOFA
55,ACELGA
56,APIO
57,BERROS
58,BRÓCOLI
59,BROTES DE CALABAZA
60,CALABACITA
61,CEBOLLA
62,CEBOLLA CAMBRAY
63,CEBOLLA MORADA
64,CHAYOTE
65,CHÍCHARO
66,CILANTRO
67,COL
68,COL DE BRUCELAS
69,COL MORADA
70,COLIFLOR
71,EJOTES
72,ESPÁRRAGOS
73,ESPINACAS
74,FLOR DE CALABAZA
75,FLOR DE IZOTE O YUCA
76,GERMINADO O BROTES DE ALFALFA
77,GUAJE
78,HABAS VERDES
79,HOJAS DE AMARANTO
80,HOJAS DE RÁBANO
81,HUAZONTLE
82,JITOMATE
83,LECHUGA
84,MILTOMATE
85,NOPALES
86,NOPALES TIERNOS
87,PÁPALO QUELITE
88,PEPINO
89,PEREJIL
90,PIMIENTO ROJO
91,PORO
92,QUELITES
93,RÁBANO LARGO
94,TOMATE VERDE
95,VERDOLAGA
96,CHILE ANCHO SECO
97,CHILE CASCABEL
98,CHILE CHILACA
99,CHILE CHIPOTLE
100,CHILE GUAJILLO SECO
101,CHILE HABANERO
102,CHILE JALAPEÑO
103,CHILE MORITA
104,CHILE PASILLA
105,CHILE PIQUÍN
106,CHILE POBLANO
107,CHILE POBLANO
108,CHILE SERRANO